"model","region","code","family","genus","species","parameter","estimate"
"DBH","CA-ON","QUER.RUB","Fagaceae","Quercus","rubra","bwood2",2.1616
"DBH","CA-ON","QUER.RUB","Fagaceae","Quercus","rubra","bbark1",0.0381
"DBH","CA-ON","QUER.RUB","Fagaceae","Quercus","rubra","bbark2",2.0991
"DBH","CA-ON","QUER.RUB","Fagaceae","Quercus","rubra","bbranches1",0.0085
"DBH","CA-ON","QUER.RUB","Fagaceae","Quercus","rubra","bbranches2",2.779
"DBH","CA-ON","QUER.RUB","Fagaceae","Quercus","rubra","bfoliage1",0.0373
"DBH","CA-ON","QUER.RUB","Fagaceae","Quercus","rubra","bfoliage2",1.674
"DBH","CA-NS, CA-ON, CA-QC","PINU.RES","Pinaceae","Pinus","resinosa","bwood1",0.0564
"DBH","CA-NS, CA-ON, CA-QC","PINU.RES","Pinaceae","Pinus","resinosa","bwood2",2.4465
"DBH","CA-NS, CA-ON, CA-QC","PINU.RES","Pinaceae","Pinus","resinosa","bbark1",0.0188
"DBH","CA-NS, CA-ON, CA-QC","PINU.RES","Pinaceae","Pinus","resinosa","bbark2",2.0527
"DBH","CA-NS, CA-ON, CA-QC","PINU.RES","Pinaceae","Pinus","resinosa","bbranches1",0.0033
"DBH","CA-NS, CA-ON, CA-QC","PINU.RES","Pinaceae","Pinus","resinosa","bbranches2",2.7515
"DBH","CA-NS, CA-ON, CA-QC","PINU.RES","Pinaceae","Pinus","resinosa","bfoliage1",0.0212
"DBH","CA-NS, CA-ON, CA-QC","PINU.RES","Pinaceae","Pinus","resinosa","bfoliage2",2.069
"DBH","CA-QC","PICE.RUB","Pinaceae","Picea","rubens","bwood1",0.0989
"DBH","CA-QC","PICE.RUB","Pinaceae","Picea","rubens","bwood2",2.2814
"DBH","CA-QC","PICE.RUB","Pinaceae","Picea","rubens","bbark1",0.022
"DBH","CA-QC","PICE.RUB","Pinaceae","Picea","rubens","bbark2",2.0908
"DBH","CA-QC","PICE.RUB","Pinaceae","Picea","rubens","bbranches1",5e-04
"DBH","CA-QC","PICE.RUB","Pinaceae","Picea","rubens","bbranches2",3.275
"DBH","CA-QC","PICE.RUB","Pinaceae","Picea","rubens","bfoliage1",0.0066
"DBH","CA-QC","PICE.RUB","Pinaceae","Picea","rubens","bfoliage2",2.4213
"DBH","CA-ON","ACER.SAC","Sapindaceae","Acer","saccharinum","bwood1",0.2324
"DBH","CA-ON","ACER.SAC","Sapindaceae","Acer","saccharinum","bwood2",2.1
"DBH","CA-ON","ACER.SAC","Sapindaceae","Acer","saccharinum","bbark1",0.0278
"DBH","CA-ON","ACER.SAC","Sapindaceae","Acer","saccharinum","bbark2",2.0433
"DBH","CA-ON","ACER.SAC","Sapindaceae","Acer","saccharinum","bbranches1",0.0028
"DBH","CA-ON","ACER.SAC","Sapindaceae","Acer","saccharinum","bbranches2",3.102
"DBH","CA-ON","ACER.SAC","Sapindaceae","Acer","saccharinum","bfoliage1",0.143
"DBH","CA-ON","ACER.SAC","Sapindaceae","Acer","saccharinum","bfoliage2",1.258
"DBH","CA-ON, CA-QC","ACER.SAH","Sapindaceae","Acer","saccharum","bwood1",0.1315
"DBH","CA-ON, CA-QC","ACER.SAH","Sapindaceae","Acer","saccharum","bwood2",2.3129
"DBH","CA-ON, CA-QC","ACER.SAH","Sapindaceae","Acer","saccharum","bbark1",0.0631
"DBH","CA-ON, CA-QC","ACER.SAH","Sapindaceae","Acer","saccharum","bbark2",1.9241
"DBH","CA-ON, CA-QC","ACER.SAH","Sapindaceae","Acer","saccharum","bbranches1",0.033
