"genus","species","allo_var","family","a","b","cf","name","region"
"Pinus","radiata","bf","Pinaceae",-5.03445,2.05803,1.20412853298783,"Lugo","ES-GA"
"Pinus","radiata","bt","Pinaceae",-2.61093,2.48739,1.01885214588904,"Lugo","ES-GA"
"Pinus","radiata","bbgt7","Pinaceae",-10.5693,2.64861,1.14795925424552,"Lugo","ES-GA"
"Pinus","radiata","bs","Pinaceae",-3.02878,2.56358,1.02021664603099,"Lugo","ES-GA"
"Pinus","radiata","bblt2","Pinaceae",-3.53532,2.75877,1.20897434886997,"Lugo","ES-GA"
"Pinus","radiata","bbgt2lt7","Pinaceae",-4.12515,2.1173,1.20847420948165,"Lugo","ES-GA"
"Pinus","sylvestris","bf","Pinaceae",-2.36531,2.5099,1.15082020639475,"Segovia","ES-SG"
"Pinus","sylvestris","bf","Pinaceae",-2.36531,2.5099,1.15082020639475,"Madrid","ES-M"
"Pinus","sylvestris","bbgt7","Pinaceae",-15.0469,2.80367,1.26758810892564,"Segovia","ES-SG"
"Pinus","sylvestris","bbgt7","Pinaceae",-15.0469,2.80367,1.26758810892564,"Madrid","ES-M"
"Pinus","sylvestris","bt","Pinaceae",-2.50275,2.41194,1.03094576087728,"Segovia","ES-SG"
"Pinus","sylvestris","bt","Pinaceae",-2.50275,2.41194,1.03094576087728,"Madrid","ES-M"
"Pinus","sylvestris","br","Pinaceae",-4.56044,2.62841,1.04103845991377,"Segovia","ES-SG"
"Pinus","sylvestris","br","Pinaceae",-4.56044,2.62841,1.04103845991377,"Madrid","ES-M"
"Pinus","sylvestris","bblt2","Pinaceae",-2.08375,2.51001,1.1507561656968,"Segovia","ES-SG"
"Pinus","sylvestris","bblt2","Pinaceae",-2.08375,2.51001,1.1507561656968,"Madrid","ES-M"
"Pinus","sylvestris","bbgt2lt7","Pinaceae",-4.07857,2.1408,1.20229665293825,"Segovia","ES-SG"
"Pinus","sylvestris","bbgt2lt7","Pinaceae",-4.07857,2.1408,1.20229665293825,"Madrid","ES-M"
"Pinus","sylvestris","bs","Pinaceae",-3.80519,2.70808,1.04309738735301,"Segovia","ES-SG"
"Pinus","sylvestris","bs","Pinaceae",-3.80519,2.70808,1.04309738735301,"Madrid","ES-M"
"Pinus","uncinata","bbgt7","Pinaceae",-4.65925,2.96208,1.22706678864452,"Girona","ES-GI"
"Pinus","uncinata","bs","Pinaceae",-3.44774,2.70666,1.03599278574299,"Girona","ES-GI"
"Pinus","uncinata","bt","Pinaceae",-1.86138,2.31611,1.03217049448669,"Girona","ES-GI"
"Pinus","uncinata","bblt2","Pinaceae",-2.63317,2.79147,1.11573084885704,"Girona","ES-GI"
"Pinus","uncinata","bbgt2lt7","Pinaceae",-2.1928,2.60699,1.13982640824748,"Girona","ES-GI"
"Pinus","uncinata","br","Pinaceae",-4.50582,2.7558,1.03925311084769,"Girona","ES-GI"
"Populus","euramericana","bblt2","Salicaceae",-2.42121,2.60846,1.11752564293969,"Segovia","ES-SG"
"Populus","euramericana","bblt2","Salicaceae",-2.42121,2.60846,1.11752564293969,"Salamanca","ES-SA"
"Populus","euramericana","bblt2","Salicaceae",-2.42121,2.60846,1.11752564293969,"Soria","ES-SO"
"Populus","euramericana","bbgt7","Salicaceae",-12.0573,2.34719,1.17930758567849,"Segovia","ES-SG"
"Populus","euramericana","bbgt7","Salicaceae",-12.0573,2.34719,1.17930758567849,"Salamanca","ES-SA"
"Populus","euramericana","bbgt7","Salicaceae",-12.0573,2.34719,1.17930758567849,"Soria","ES-SO"
"Populus","euramericana","bt","Salicaceae",-2.94077,2.56677,1.00292404565064,"Segovia","ES-SG"
"Populus","euramericana","bt","Salicaceae",-2.94077,2.56677,1.00292404565064,"Salamanca","ES-SA"
"Populus","euramericana","bt","Salicaceae",-2.94077,2.56677,1.00292404565064,"Soria","ES-SO"
"Populus","euramericana","bs","Salicaceae",-3.15383,2.53766,1.00963824610861,"Segovia","ES-SG"
"Populus","euramericana","bs","Salicaceae",-3.15383,2.53766,1.00963824610861,"Salamanca","ES-SA"
"Populus","euramericana","bs","Salicaceae",-3.15383,2.53766,1.00963824610861,"Soria","ES-SO"
"Populus","euramericana","bf","Salicaceae",-3.36508,2.5955,1.11603392842611,"Segovia","ES-SG"
"Populus","euramericana","bf","Salicaceae",-3.36508,2.5955,1.11603392842611,"Salamanca","ES-SA"
"Populus","euramericana","bf","Salicaceae",-3.36508,2.5955,1.11603392842611,"Soria","ES-SO"
"Populus","euramericana","bbgt2lt7","Salicaceae",-6.31271,2.83713,1.09088936620182,"Segovia","ES-SG"
"Populus","euramericana","bbgt2lt7","Salicaceae",-6.31271,2.83713,1.09088936620182,"Salamanca","ES-SA"
"Populus","euramericana","bbgt2lt7","Salicaceae",-6.31271,2.83713,1.09088936620182,"Soria","ES-SO"
"Populus","euramericana","br","Salicaceae",-5.00204,2.82049,1.03538635471519,"Segovia","ES-SG"
"Populus","euramericana","br","Salicaceae",-5.00204,2.82049,1.03538635471519,"Salamanca","ES-SA"
"Populus","euramericana","br","Salicaceae",-5.00204,2.82049,1.03538635471519,"Soria","ES-SO"
"Quercus","canariensis","bf","Fagaceae",-4.5692,2.66513,1.17864051830828,"Cádiz","ES-CA"
"Quercus","canariensis","bbgt7","Fagaceae",-3.78626,2.42751,1.42724395652001,"Cádiz","ES-CA"
"Quercus","canariensis","bbgt2lt7","Fagaceae",-3.62585,2.16258,1.14338147622881,"Cádiz","ES-CA"
