"model","region","code","family","genus","species","parameter","estimate"
"DBHHT","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bbark2",1.6398
"DBHHT","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bbark3",0.6524
"DBHHT","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bbranches1",0.0285
"DBHHT","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bbranches2",3.3764
"DBHHT","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bbranches3",-1.4395
"DBHHT","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bfoliage1",0.0769
"DBHHT","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bfoliage2",2.6834
"DBHHT","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bfoliage3",-1.2484
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bwood1",0.0143
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bwood2",1.9369
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bwood3",1.0579
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bbark1",0.0063
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bbark2",2.0744
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bbark3",0.6691
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bbranches1",0.015
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bbranches2",2.9068
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bbranches3",-0.6306
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bfoliage1",0.0284
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bfoliage2",1.602
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bfoliage3",0
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bwood1",0.0333
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bwood2",2.0794
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bwood3",0.6811
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bbark1",0.0079
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bbark2",1.9905
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bbark3",0.6553
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bbranches1",0.0253
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bbranches2",3.1518
"DBHHT","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bbranches3",-0.9083
